"   Suburb","  Address","    Rooms","    Type","    Price","   Method","  SellerG","    Date","  Distance","  Postcode","   Bedroom2","   Bathroom","     Car","   Landsize"," BuildingArea","  YearBuilt","CouncilArea","  Lattitude","  Longtitude"," Regionname","Propertycount"
"Length:34857      ","Length:34857      ","Min.   : 1.000  ","Length:34857      ","Min.   :   85000  ","Length:34857      ","Length:34857      ","Length:34857      ","Length:34857      ","Length:34857      ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   :     0.0  ","Min.   :    0.0  ","Min.   :1196  ","Length:34857      ","Min.   :-38.19  ","Min.   :144.4  ","Length:34857      ","Length:34857      "
"Class :character  ","Class :character  ","1st Qu.: 2.000  ","Class :character  ","1st Qu.:  635000  ","Class :character  ","Class :character  ","Class :character  ","Class :character  ","Class :character  ","1st Qu.: 2.000  ","1st Qu.: 1.000  ","1st Qu.: 1.000  ","1st Qu.:   224.0  ","1st Qu.:  102.0  ","1st Qu.:1940  ","Class :character  ","1st Qu.:-37.86  ","1st Qu.:144.9  ","Class :character  ","Class :character  "
"Mode  :character  ","Mode  :character  ","Median : 3.000  ","Mode  :character  ","Median :  870000  ","Mode  :character  ","Mode  :character  ","Mode  :character  ","Mode  :character  ","Mode  :character  ","Median : 3.000  ","Median : 2.000  ","Median : 2.000  ","Median :   521.0  ","Median :  136.0  ","Median :1970  ","Mode  :character  ","Median :-37.81  ","Median :145.0  ","Mode  :character  ","Mode  :character  "
NA,NA,"Mean   : 3.031  ",NA,"Mean   : 1050173  ",NA,NA,NA,NA,NA,"Mean   : 3.085  ","Mean   : 1.625  ","Mean   : 1.729  ","Mean   :   593.6  ","Mean   :  160.3  ","Mean   :1965  ",NA,"Mean   :-37.81  ","Mean   :145.0  ",NA,NA
NA,NA,"3rd Qu.: 4.000  ",NA,"3rd Qu.: 1295000  ",NA,NA,NA,NA,NA,"3rd Qu.: 4.000  ","3rd Qu.: 2.000  ","3rd Qu.: 2.000  ","3rd Qu.:   670.0  ","3rd Qu.:  188.0  ","3rd Qu.:2000  ",NA,"3rd Qu.:-37.75  ","3rd Qu.:145.1  ",NA,NA
NA,NA,"Max.   :16.000  ",NA,"Max.   :11200000  ",NA,NA,NA,NA,NA,"Max.   :30.000  ","Max.   :12.000  ","Max.   :26.000  ","Max.   :433014.0  ","Max.   :44515.0  ","Max.   :2106  ",NA,"Max.   :-37.39  ","Max.   :145.5  ",NA,NA
NA,NA,NA,NA,"NA's   :7610  ",NA,NA,NA,NA,NA,"NA's   :8217  ","NA's   :8226  ","NA's   :8728  ","NA's   :11810  ","NA's   :21115  ","NA's   :19306  ",NA,"NA's   :7976  ","NA's   :7976  ",NA,NA
